price_total,price_unit,area,ratio,age,Floor,Height,room
3696.35,35.8,103.25,58.31,10,22,24,4
1751.652,33.1,52.92,55.54,8,16,24,3
1735.776,32.8,52.92,55.54,7,16,24,3
1544.994,30.6,50.49,55.54,9,4,24,4
837.288,26.1,32.08,57,4,7,15,2
797.769,24.3,32.83,57.3,6,3,15,2
979.72,28,34.99,60.48,5,9,15,2
679.44,29.8,22.8,53.12,3,9,15,2
820.16,35.2,23.3,59.34,6,9,15,2
1000,32,31.25,59.09,6,9,15,2
1348.789,34.7,38.87,61.38,6,9,15,3
640.68,28.1,22.8,53.12,3,5,15,2
1191.729,36.3,32.83,57.3,6,8,15,2
580.932,32.4,17.93,58.52,6,6,15,2
930.568,29.3,31.76,56.99,5,6,15,2
911.512,28.7,31.76,56.99,4,6,15,2
831.577,23.3,35.69,60.86,2,11,15,2
967.564,29.9,32.36,60.61,6,12,15,2
1240.836,31.8,39.02,61.35,3,15,15,3
861.808,24.4,35.32,45.6,3,14,15,2
1240.326,30.9,40.14,61.52,4,4,15,3
